"pk_person_features","person_uri","occupation_main","occupation_sec1","occupation_sec2","field_main","field_sec1","field_sec2","fk_person","notes"
5033,http://www.wikidata.org/entity/Q113808756,,NA,NA,NA,NA,NA,5033,
5034,http://www.wikidata.org/entity/Q113808855,,social-anthropologist,NA,NA,NA,NA,5034,
5035,http://www.wikidata.org/entity/Q113808889,,anthropologist,NA,NA,NA,NA,5035,
5036,http://www.wikidata.org/entity/Q113808950,,NA,NA,NA,NA,NA,5036,
5037,http://www.wikidata.org/entity/Q113809230,,theologian,NA,NA,NA,NA,5037,
5038,http://www.wikidata.org/entity/Q113809311,,political-scientist,NA,NA,NA,NA,5038,
5039,http://www.wikidata.org/entity/Q113809398,,university-teacher,NA,NA,NA,NA,5039,
5040,http://www.wikidata.org/entity/Q113809458,,research-fellow,NA,NA,NA,NA,5040,
5041,http://www.wikidata.org/entity/Q113810339,,poet,NA,sociology,poetry,german-studies,5041,
5042,http://www.wikidata.org/entity/Q113810495,,media-scholar,NA,sociology,NA,NA,5042,
5043,http://www.wikidata.org/entity/Q113810545,,NA,NA,sociology,pedagogy,protestant-theology,5043,
5044,http://www.wikidata.org/entity/Q113810589,,philosopher,NA,NA,NA,NA,5044,
5045,http://www.wikidata.org/entity/Q113810599,,university-teacher,NA,sociology,sociology-of-sport,ethnic-group,5045,
5046,http://www.wikidata.org/entity/Q113810778,,university-teacher,NA,mass-media,communication-theory,social-geography,5046,
5047,http://www.wikidata.org/entity/Q113810932,,author,NA,NA,NA,NA,5047,
5048,http://www.wikidata.org/entity/Q113811188,,NA,NA,NA,NA,NA,5048,
5049,http://www.wikidata.org/entity/Q113811555,,NA,NA,NA,NA,NA,5049,
5050,http://www.wikidata.org/entity/Q113811855,,cultural-studies-scholar,NA,NA,NA,NA,5050,
5051,http://www.wikidata.org/entity/Q113811856,,anthropologist,NA,NA,NA,NA,5051,
5052,http://www.wikidata.org/entity/Q113811949,,university-teacher,NA,sociology,social-research,social-psychology,5052,
5053,http://www.wikidata.org/entity/Q113812257,,philosopher,NA,sociology,cultural-studies,NA,5053,
5054,http://www.wikidata.org/entity/Q113812504,,catholic-theologian,NA,NA,NA,NA,5054,
5055,http://www.wikidata.org/entity/Q113812512,,NA,NA,NA,NA,NA,5055,
5056,http://www.wikidata.org/entity/Q113812550,,political-scientist,NA,NA,NA,NA,5056,
5057,http://www.wikidata.org/entity/Q113812808,,philosopher,NA,NA,NA,NA,5057,
5058,http://www.wikidata.org/entity/Q113812811,,pedagogue,NA,NA,NA,NA,5058,
5059,http://www.wikidata.org/entity/Q113812813,,university-teacher,NA,NA,NA,NA,5059,
5060,http://www.wikidata.org/entity/Q113812874,,historian,NA,NA,NA,NA,5060,
5061,http://www.wikidata.org/entity/Q113812982,,scientist,NA,sociology-of-religion,sociology-of-culture,religious-studies,5061,
5062,http://www.wikidata.org/entity/Q113813027,,political-scientist,NA,NA,NA,NA,5062,
5063,http://www.wikidata.org/entity/Q113813895,,pedagogue,NA,sociology,pedagogy,NA,5063,
5064,http://www.wikidata.org/entity/Q113814053,,NA,NA,NA,NA,NA,5064,
5065,http://www.wikidata.org/entity/Q113814243,,university-teacher,NA,social-science,sociology-of-scientific-knowledge,NA,5065,
5066,http://www.wikidata.org/entity/Q113814245,,NA,NA,NA,NA,NA,5066,
5067,http://www.wikidata.org/entity/Q113814301,,university-teacher,NA,sociology,political-science,NA,5067,
5068,http://www.wikidata.org/entity/Q113814499,,NA,NA,NA,NA,NA,5068,
5069,http://www.wikidata.org/entity/Q113814596,,NA,NA,NA,NA,NA,5069,
5070,http://www.wikidata.org/entity/Q113814597,,NA,NA,NA,NA,NA,5070,
5071,http://www.wikidata.org/entity/Q113814689,,criminologist,NA,NA,NA,NA,5071,
5072,http://www.wikidata.org/entity/Q113814780,,political-scientist,NA,political-science,NA,NA,5072,
5073,http://www.wikidata.org/entity/Q113814781,,NA,NA,NA,NA,NA,5073,
5074,http://www.wikidata.org/entity/Q113820464,,NA,NA,NA,NA,NA,5074,
5075,http://www.wikidata.org/entity/Q113820605,,NA,NA,NA,NA,NA,5075,
5076,http://www.wikidata.org/entity/Q113820623,,anthropologist,NA,NA,NA,NA,5076,
5077,http://www.wikidata.org/entity/Q113820749,,NA,NA,NA,NA,NA,5077,
5078,http://www.wikidata.org/entity/Q113821147,,university-teacher,NA,NA,NA,NA,5078,
5079,http://www.wikidata.org/entity/Q113821156,,university-teacher,NA,sociology,psychology,NA,5079,
5080,http://www.wikidata.org/entity/Q113821242,,political-scientist,NA,sociology,political-science,NA,5080,
5081,http://www.wikidata.org/entity/Q113821360,,musicologist,NA,NA,NA,NA,5081,
5082,http://www.wikidata.org/entity/Q113821823,,anthropologist,NA,social-anthropology,ethnography,indigenous-people,5082,
5083,http://www.wikidata.org/entity/Q113821911,,historian,NA,NA,NA,NA,5083,
5084,http://www.wikidata.org/entity/Q113821919,,diplomat,NA,NA,NA,NA,5084,
5085,http://www.wikidata.org/entity/Q113822157,,journalist,NA,NA,NA,NA,5085,
5086,http://www.wikidata.org/entity/Q113822221,,NA,NA,NA,NA,NA,5086,
5087,http://www.wikidata.org/entity/Q113822279,,NA,NA,NA,NA,NA,5087,
5088,http://www.wikidata.org/entity/Q113822297,,NA,NA,NA,NA,NA,5088,
5089,http://www.wikidata.org/entity/Q113822349,,NA,NA,NA,NA,NA,5089,
5090,http://www.wikidata.org/entity/Q113822447,,university-teacher,NA,sociology-of-religion,sociology-of-youth,social-stratification,5090,
5091,http://www.wikidata.org/entity/Q113822568,,NA,NA,NA,NA,NA,5091,
5092,http://www.wikidata.org/entity/Q113822666,,NA,NA,NA,NA,NA,5092,
5093,http://www.wikidata.org/entity/Q113822710,,religious-studies-scholar,NA,NA,NA,NA,5093,
5094,http://www.wikidata.org/entity/Q113822741,,NA,NA,NA,NA,NA,5094,
5095,http://www.wikidata.org/entity/Q113822853,,NA,NA,sociology,NA,NA,5095,
5096,http://www.wikidata.org/entity/Q113822983,,philosopher,NA,NA,NA,NA,5096,
5097,http://www.wikidata.org/entity/Q113823006,,NA,NA,NA,NA,NA,5097,
5098,http://www.wikidata.org/entity/Q113823359,,NA,NA,NA,NA,NA,5098,
5099,http://www.wikidata.org/entity/Q113823490,,university-teacher,NA,NA,NA,NA,5099,
5100,http://www.wikidata.org/entity/Q113823504,,anthropologist,NA,NA,NA,NA,5100,
5101,http://www.wikidata.org/entity/Q113823708,,university-teacher,NA,relationship-between-religion-and-science,creationism,fundamentalism,5101,
5102,http://www.wikidata.org/entity/Q113823885,,NA,NA,NA,NA,NA,5102,
5103,http://www.wikidata.org/entity/Q113824172,,university-teacher,NA,sociology,economics,religious-studies,5103,
5104,http://www.wikidata.org/entity/Q113824211,,university-teacher,NA,NA,NA,NA,5104,
5105,http://www.wikidata.org/entity/Q113824262,,university-teacher,NA,NA,NA,NA,5105,
5106,http://www.wikidata.org/entity/Q113824661,,NA,NA,NA,NA,NA,5106,
5107,http://www.wikidata.org/entity/Q113827932,,NA,NA,sociology,computational-linguistics,science-of-journalism,5107,
5108,http://www.wikidata.org/entity/Q113827989,,political-scientist,NA,sociology,political-science,romance-studies,5108,
5109,http://www.wikidata.org/entity/Q113828166,,journalist,NA,NA,NA,NA,5109,
5110,http://www.wikidata.org/entity/Q113828311,,NA,NA,NA,NA,NA,5110,
5111,http://www.wikidata.org/entity/Q113828314,,therapist,NA,medicine,NA,NA,5111,
5112,http://www.wikidata.org/entity/Q113828504,,business-consultant,NA,NA,NA,NA,5112,
5113,http://www.wikidata.org/entity/Q113828533,,NA,NA,NA,NA,NA,5113,
5114,http://www.wikidata.org/entity/Q113828696,,pastor,NA,sociology,theology,national-economy,5114,
5115,http://www.wikidata.org/entity/Q113828748,,protestant-theologian,NA,NA,NA,NA,5115,
5116,http://www.wikidata.org/entity/Q113828928,,NA,NA,NA,NA,NA,5116,
5117,http://www.wikidata.org/entity/Q113829227,,NA,NA,NA,NA,NA,5117,
5118,http://www.wikidata.org/entity/Q113829814,,university-teacher,NA,sociology,social-research,social-science,5118,
5119,http://www.wikidata.org/entity/Q113830046,,NA,NA,NA,NA,NA,5119,
5120,http://www.wikidata.org/entity/Q113830230,,NA,NA,NA,NA,NA,5120,
5121,http://www.wikidata.org/entity/Q113830373,,NA,NA,NA,NA,NA,5121,
5122,http://www.wikidata.org/entity/Q113830693,,university-teacher,NA,NA,NA,NA,5122,
5123,http://www.wikidata.org/entity/Q113830836,,NA,NA,NA,NA,NA,5123,
5124,http://www.wikidata.org/entity/Q113830920,,theologian,NA,NA,NA,NA,5124,
5125,http://www.wikidata.org/entity/Q113830994,,university-teacher,NA,NA,NA,NA,5125,
5126,http://www.wikidata.org/entity/Q113831005,,NA,NA,NA,NA,NA,5126,
5127,http://www.wikidata.org/entity/Q113831054,,research-fellow,NA,political-science,NA,NA,5127,
5128,http://www.wikidata.org/entity/Q113831135,,NA,NA,NA,NA,NA,5128,
5129,http://www.wikidata.org/entity/Q113831350,,NA,NA,NA,NA,NA,5129,
5130,http://www.wikidata.org/entity/Q113831434,,NA,NA,political-science,NA,NA,5130,
5131,http://www.wikidata.org/entity/Q113831614,,NA,NA,NA,NA,NA,5131,
5132,http://www.wikidata.org/entity/Q113832154,,philosopher,NA,sociology,psychology,pedagogy,5132,
5133,http://www.wikidata.org/entity/Q113832253,,NA,NA,NA,NA,NA,5133,
5134,http://www.wikidata.org/entity/Q113832304,,NA,NA,sociology,NA,NA,5134,
5135,http://www.wikidata.org/entity/Q113832447,,university-teacher,NA,NA,NA,NA,5135,
5136,http://www.wikidata.org/entity/Q113832698,,social-scientist,NA,NA,NA,NA,5136,
5137,http://www.wikidata.org/entity/Q113832710,,NA,NA,sociology,philosophy,ethics,5137,
5138,http://www.wikidata.org/entity/Q113832742,,NA,NA,NA,NA,NA,5138,
5139,http://www.wikidata.org/entity/Q113832817,,jurist,NA,NA,NA,NA,5139,
5140,http://www.wikidata.org/entity/Q113833416,,NA,NA,NA,NA,NA,5140,
5141,http://www.wikidata.org/entity/Q113833566,,theologian,NA,NA,NA,NA,5141,
5142,http://www.wikidata.org/entity/Q113833569,,political-scientist,NA,NA,NA,NA,5142,
5143,http://www.wikidata.org/entity/Q113833811,,NA,NA,NA,NA,NA,5143,
5144,http://www.wikidata.org/entity/Q113833862,,university-teacher,NA,economics,NA,NA,5144,
5145,http://www.wikidata.org/entity/Q113833926,,NA,NA,NA,NA,NA,5145,
5146,http://www.wikidata.org/entity/Q113834098,,university-teacher,NA,sociology,sociology-of-religion,NA,5146,
5147,http://www.wikidata.org/entity/Q113834241,,journalist,NA,sociology,philosophy,theology,5147,
5148,http://www.wikidata.org/entity/Q113834378,,NA,NA,NA,NA,NA,5148,
5149,http://www.wikidata.org/entity/Q113834514,,NA,NA,NA,NA,NA,5149,
5150,http://www.wikidata.org/entity/Q113834719,,NA,NA,NA,NA,NA,5150,
5151,http://www.wikidata.org/entity/Q113834843,,university-teacher,NA,NA,NA,NA,5151,
5152,http://www.wikidata.org/entity/Q113835058,,NA,NA,NA,NA,NA,5152,
5153,http://www.wikidata.org/entity/Q113835254,,philosopher,NA,NA,NA,NA,5153,
5154,http://www.wikidata.org/entity/Q113835753,,NA,NA,NA,NA,NA,5154,
5155,http://www.wikidata.org/entity/Q113836174,,NA,NA,NA,NA,NA,5155,
5156,http://www.wikidata.org/entity/Q113836488,,teacher,NA,vocational-education,NA,NA,5156,
5157,http://www.wikidata.org/entity/Q113836520,,political-scientist,NA,sociology,political-science,religious-studies,5157,
5158,http://www.wikidata.org/entity/Q11383691,,university-teacher,NA,sociology,NA,NA,5158,
5159,http://www.wikidata.org/entity/Q113837045,,NA,NA,NA,NA,NA,5159,
5160,http://www.wikidata.org/entity/Q113837047,,NA,NA,NA,NA,NA,5160,
5161,http://www.wikidata.org/entity/Q113837113,,NA,NA,NA,NA,NA,5161,
5162,http://www.wikidata.org/entity/Q113837178,,NA,NA,NA,NA,NA,5162,
5163,http://www.wikidata.org/entity/Q113837232,,pedagogue,NA,sociology,philosophy,psychology,5163,
5164,http://www.wikidata.org/entity/Q113837331,,NA,NA,NA,NA,NA,5164,
5165,http://www.wikidata.org/entity/Q113837381,,journalist,NA,sociology,political-science,journalism,5165,
5166,http://www.wikidata.org/entity/Q113837660,,NA,NA,NA,NA,NA,5166,
5167,http://www.wikidata.org/entity/Q113837670,,research-fellow,NA,NA,NA,NA,5167,
5168,http://www.wikidata.org/entity/Q113837788,,university-teacher,NA,sociology,history,international-relations,5168,
5169,http://www.wikidata.org/entity/Q113837945,,historian,NA,NA,NA,NA,5169,
5170,http://www.wikidata.org/entity/Q113838077,,university-teacher,NA,sociology,philosophy,NA,5170,
5171,http://www.wikidata.org/entity/Q113838118,,historian,NA,NA,NA,NA,5171,
5172,http://www.wikidata.org/entity/Q113838159,,NA,NA,NA,NA,NA,5172,
5173,http://www.wikidata.org/entity/Q113838488,,NA,NA,NA,NA,NA,5173,
5174,http://www.wikidata.org/entity/Q113838515,,NA,NA,NA,NA,NA,5174,
5175,http://www.wikidata.org/entity/Q113838579,,NA,NA,NA,NA,NA,5175,
5176,http://www.wikidata.org/entity/Q113838594,,demographer,NA,NA,NA,NA,5176,
5177,http://www.wikidata.org/entity/Q113838624,,NA,NA,NA,NA,NA,5177,
5178,http://www.wikidata.org/entity/Q113838755,,NA,NA,NA,NA,NA,5178,
5179,http://www.wikidata.org/entity/Q113838824,,cultural-studies-scholar,NA,NA,NA,NA,5179,
5180,http://www.wikidata.org/entity/Q113838914,,religious-studies-scholar,NA,NA,NA,NA,5180,
5181,http://www.wikidata.org/entity/Q113838935,,anthropologist,NA,sharia,NA,NA,5181,
5182,http://www.wikidata.org/entity/Q113839004,,ethnologist,NA,NA,NA,NA,5182,
5183,http://www.wikidata.org/entity/Q113839048,,missionary,NA,NA,NA,NA,5183,
5184,http://www.wikidata.org/entity/Q11383925,,NA,NA,NA,NA,NA,5184,
5185,http://www.wikidata.org/entity/Q113839606,,university-teacher,NA,sociology,sociology-of-religion,gender,5185,
5186,http://www.wikidata.org/entity/Q113841752,,NA,NA,NA,NA,NA,5186,
5187,http://www.wikidata.org/entity/Q113841773,,jurist,NA,NA,NA,NA,5187,
5188,http://www.wikidata.org/entity/Q113842169,,NA,NA,NA,NA,NA,5188,
5189,http://www.wikidata.org/entity/Q113842221,,NA,NA,NA,NA,NA,5189,
5190,http://www.wikidata.org/entity/Q113842239,,NA,NA,NA,NA,NA,5190,
5191,http://www.wikidata.org/entity/Q113842271,,NA,NA,NA,NA,NA,5191,
5192,http://www.wikidata.org/entity/Q113842273,,NA,NA,NA,NA,NA,5192,
5193,http://www.wikidata.org/entity/Q113842334,,university-teacher,NA,NA,NA,NA,5193,
5194,http://www.wikidata.org/entity/Q113842347,,NA,NA,NA,NA,NA,5194,
5195,http://www.wikidata.org/entity/Q113843115,,university-teacher,NA,political-science,political-philosophy,NA,5195,
5196,http://www.wikidata.org/entity/Q113843516,,theologian,NA,NA,NA,NA,5196,
5197,http://www.wikidata.org/entity/Q113843821,,NA,NA,NA,NA,NA,5197,
5198,http://www.wikidata.org/entity/Q113844034,,NA,NA,NA,NA,NA,5198,
5199,http://www.wikidata.org/entity/Q113844125,,university-teacher,NA,NA,NA,NA,5199,
5200,http://www.wikidata.org/entity/Q113844365,,NA,NA,NA,NA,NA,5200,
5201,http://www.wikidata.org/entity/Q113844466,,university-teacher,NA,sociology-of-religion,sociology-of-culture,political-sociology,5201,
5202,http://www.wikidata.org/entity/Q113844493,,university-teacher,NA,sociology,gender,social-psychology,5202,
5203,http://www.wikidata.org/entity/Q113844556,,anthropologist,NA,NA,NA,NA,5203,
5204,http://www.wikidata.org/entity/Q113844726,,university-teacher,NA,NA,NA,NA,5204,
5205,http://www.wikidata.org/entity/Q113844956,,NA,NA,NA,NA,NA,5205,
5206,http://www.wikidata.org/entity/Q113844968,,NA,NA,NA,NA,NA,5206,
5207,http://www.wikidata.org/entity/Q113845135,,NA,NA,NA,NA,NA,5207,
5208,http://www.wikidata.org/entity/Q113845164,,general-manager,NA,NA,NA,NA,5208,
5209,http://www.wikidata.org/entity/Q113846014,,cultural-anthropologist,NA,sociology,NA,NA,5209,
5210,http://www.wikidata.org/entity/Q113846075,,NA,NA,NA,NA,NA,5210,
5211,http://www.wikidata.org/entity/Q113846151,,NA,NA,NA,NA,NA,5211,
5212,http://www.wikidata.org/entity/Q113846172,,ethnologist,NA,NA,NA,NA,5212,
5213,http://www.wikidata.org/entity/Q113846300,,pedagogue,NA,NA,NA,NA,5213,
5214,http://www.wikidata.org/entity/Q113846394,,research-fellow,NA,NA,NA,NA,5214,
5215,http://www.wikidata.org/entity/Q113846637,,ethnologist,NA,sociology,ethnology,NA,5215,
5216,http://www.wikidata.org/entity/Q113846755,,university-teacher,NA,NA,NA,NA,5216,
5217,http://www.wikidata.org/entity/Q113846865,,theologian,NA,NA,NA,NA,5217,
5218,http://www.wikidata.org/entity/Q113847088,,university-teacher,NA,NA,NA,NA,5218,
5219,http://www.wikidata.org/entity/Q113847149,,university-teacher,NA,NA,NA,NA,5219,
5220,http://www.wikidata.org/entity/Q113860446,,NA,NA,NA,NA,NA,5220,
5221,http://www.wikidata.org/entity/Q113868003,,university-teacher,NA,NA,NA,NA,5221,
5222,http://www.wikidata.org/entity/Q11388705,,teacher,NA,NA,NA,NA,5222,
5223,http://www.wikidata.org/entity/Q1139047,,university-teacher,NA,NA,NA,NA,5223,
5224,http://www.wikidata.org/entity/Q113907841,,NA,NA,NA,NA,NA,5224,
5225,http://www.wikidata.org/entity/Q113908931,,NA,NA,NA,NA,NA,5225,
5226,http://www.wikidata.org/entity/Q113946277,,university-teacher,NA,sociology,NA,NA,5226,
5227,http://www.wikidata.org/entity/Q113956780,,social-activist,NA,NA,NA,NA,5227,
5228,http://www.wikidata.org/entity/Q113958041,,historian,NA,NA,NA,NA,5228,
5229,http://www.wikidata.org/entity/Q113958259,,writer,NA,NA,NA,NA,5229,
5230,http://www.wikidata.org/entity/Q11397036,,NA,NA,gender-studies,NA,NA,5230,
5231,http://www.wikidata.org/entity/Q11399445,,teacher,NA,NA,NA,NA,5231,
5232,http://www.wikidata.org/entity/Q114002621,,university-teacher,NA,NA,NA,NA,5232,
5233,http://www.wikidata.org/entity/Q114005783,,NA,NA,NA,NA,NA,5233,
5234,http://www.wikidata.org/entity/Q114006008,,politician,NA,NA,NA,NA,5234,
5235,http://www.wikidata.org/entity/Q114007,,university-teacher,NA,NA,NA,NA,5235,
5236,http://www.wikidata.org/entity/Q114008699,,opinion-journalist,NA,NA,NA,NA,5236,
5237,http://www.wikidata.org/entity/Q114031174,,social-worker,NA,NA,NA,NA,5237,
5238,http://www.wikidata.org/entity/Q114031896,,NA,NA,NA,NA,NA,5238,
5239,http://www.wikidata.org/entity/Q114036289,,NA,NA,NA,NA,NA,5239,
5240,http://www.wikidata.org/entity/Q11403820,,NA,NA,NA,NA,NA,5240,
5241,http://www.wikidata.org/entity/Q114043554,,politician,NA,NA,NA,NA,5241,
5242,http://www.wikidata.org/entity/Q114048708,,university-teacher,NA,NA,NA,NA,5242,
5243,http://www.wikidata.org/entity/Q114050134,,NA,NA,NA,NA,NA,5243,
5244,http://www.wikidata.org/entity/Q114056099,,writer,NA,NA,NA,NA,5244,
5245,http://www.wikidata.org/entity/Q114081351,,university-teacher,NA,sociology,industrial-relations,NA,5245,
5246,http://www.wikidata.org/entity/Q114089063,,teacher,NA,NA,NA,NA,5246,
5247,http://www.wikidata.org/entity/Q114096650,,director,NA,NA,NA,NA,5247,
5248,http://www.wikidata.org/entity/Q114103428,,professor,NA,NA,NA,NA,5248,
5249,http://www.wikidata.org/entity/Q11411520,,teacher,NA,NA,NA,NA,5249,
5250,http://www.wikidata.org/entity/Q114120732,,NA,NA,NA,NA,NA,5250,
5251,http://www.wikidata.org/entity/Q11413936,,teacher,NA,NA,NA,NA,5251,
5252,http://www.wikidata.org/entity/Q11414286,,NA,NA,NA,NA,NA,5252,
5253,http://www.wikidata.org/entity/Q114145854,,researcher,NA,NA,NA,NA,5253,
5254,http://www.wikidata.org/entity/Q114156230,,NA,NA,NA,NA,NA,5254,
5255,http://www.wikidata.org/entity/Q114156597,,NA,NA,NA,NA,NA,5255,
5256,http://www.wikidata.org/entity/Q114162602,,demographer,NA,NA,NA,NA,5256,
5257,http://www.wikidata.org/entity/Q114163551,,NA,NA,NA,NA,NA,5257,
5258,http://www.wikidata.org/entity/Q114167492,,university-teacher,NA,NA,NA,NA,5258,
5259,http://www.wikidata.org/entity/Q114170780,,philosopher,NA,NA,NA,NA,5259,
5260,http://www.wikidata.org/entity/Q114202491,,academic-staff,NA,NA,NA,NA,5260,
5261,http://www.wikidata.org/entity/Q114212236,,NA,NA,NA,NA,NA,5261,
5262,http://www.wikidata.org/entity/Q114213392,,university-teacher,NA,NA,NA,NA,5262,
5263,http://www.wikidata.org/entity/Q114218920,,university-teacher,NA,NA,NA,NA,5263,
5264,http://www.wikidata.org/entity/Q114222402,,academic,NA,restorative-justice,international-development,nicaragua–united-states-relations,5264,
5265,http://www.wikidata.org/entity/Q11422858,,NA,NA,NA,NA,NA,5265,
5266,http://www.wikidata.org/entity/Q114239497,,journalist,NA,sociology,jurisprudence,NA,5266,
5267,http://www.wikidata.org/entity/Q114246930,,trade-unionist,NA,NA,NA,NA,5267,
5268,http://www.wikidata.org/entity/Q11425744,,NA,NA,NA,NA,NA,5268,
5269,http://www.wikidata.org/entity/Q11430430,,politician,NA,NA,NA,NA,5269,
5270,http://www.wikidata.org/entity/Q114314835,,politician,NA,NA,NA,NA,5270,
5271,http://www.wikidata.org/entity/Q114319242,,researcher,NA,NA,NA,NA,5271,
5272,http://www.wikidata.org/entity/Q114321410,,researcher,NA,sociology,NA,NA,5272,
5273,http://www.wikidata.org/entity/Q114346937,,university-teacher,NA,political-science,economic-sociology,social-movement,5273,
5274,http://www.wikidata.org/entity/Q114347404,,researcher,NA,NA,NA,NA,5274,
5275,http://www.wikidata.org/entity/Q114353822,,NA,NA,NA,NA,NA,5275,
5276,http://www.wikidata.org/entity/Q11436634,,teacher,NA,NA,NA,NA,5276,
5277,http://www.wikidata.org/entity/Q11436989,,university-teacher,NA,sociology,economics,gender-studies,5277,
5278,http://www.wikidata.org/entity/Q114376534,,researcher,NA,NA,NA,NA,5278,
5279,http://www.wikidata.org/entity/Q114380798,,researcher,NA,NA,NA,NA,5279,
5280,http://www.wikidata.org/entity/Q114387148,,researcher,NA,NA,NA,NA,5280,
5281,http://www.wikidata.org/entity/Q11438982,,NA,NA,NA,NA,NA,5281,
5282,http://www.wikidata.org/entity/Q11439626,,teacher,NA,NA,NA,NA,5282,
5283,http://www.wikidata.org/entity/Q11439631,,NA,NA,NA,NA,NA,5283,
5284,http://www.wikidata.org/entity/Q114401602,,writer,NA,sociology,NA,NA,5284,
5285,http://www.wikidata.org/entity/Q114424195,,NA,NA,NA,NA,NA,5285,
5286,http://www.wikidata.org/entity/Q11445598,,NA,NA,NA,NA,NA,5286,
5287,http://www.wikidata.org/entity/Q114457475,,economist,NA,NA,NA,NA,5287,
5288,http://www.wikidata.org/entity/Q11450637,,university-teacher,NA,NA,NA,NA,5288,
5289,http://www.wikidata.org/entity/Q11452565,,teacher,NA,NA,NA,NA,5289,
5290,http://www.wikidata.org/entity/Q11453996,,teacher,NA,NA,NA,NA,5290,
5291,http://www.wikidata.org/entity/Q1145600,,university-teacher,NA,NA,NA,NA,5291,
5292,http://www.wikidata.org/entity/Q114562237,,NA,NA,NA,NA,NA,5292,
5293,http://www.wikidata.org/entity/Q11457053,,NA,NA,NA,NA,NA,5293,
5294,http://www.wikidata.org/entity/Q11457087,,NA,NA,NA,NA,NA,5294,
5295,http://www.wikidata.org/entity/Q114587,,university-teacher,NA,sociology,philosophy,demography,5295,
5296,http://www.wikidata.org/entity/Q114590210,,NA,NA,NA,NA,NA,5296,
5297,http://www.wikidata.org/entity/Q11460226,,illustrator,NA,sociology-of-education,international-community,NA,5297,
5298,http://www.wikidata.org/entity/Q1146164,,university-teacher,NA,sociology-of-the-family,sexuality,social-mobility,5298,
5299,http://www.wikidata.org/entity/Q11461756,,NA,NA,NA,NA,NA,5299,
5300,http://www.wikidata.org/entity/Q11462641,,NA,NA,NA,NA,NA,5300,
5301,http://www.wikidata.org/entity/Q114626765,,social-activist,NA,urban-studies,NA,NA,5301,
5302,http://www.wikidata.org/entity/Q11462770,,university-teacher,NA,sociology,historical-sociology,social-movement,5302,
5303,http://www.wikidata.org/entity/Q11463349,,NA,NA,NA,NA,NA,5303,
5304,http://www.wikidata.org/entity/Q11463741,,NA,NA,NA,NA,NA,5304,
5305,http://www.wikidata.org/entity/Q114639779,,university-teacher,NA,NA,NA,NA,5305,
5306,http://www.wikidata.org/entity/Q11464382,,NA,NA,NA,NA,NA,5306,
5307,http://www.wikidata.org/entity/Q11464855,,NA,NA,NA,NA,NA,5307,
5308,http://www.wikidata.org/entity/Q114650384,,university-teacher,NA,philosophy-of-science,digital-media,technology,5308,
5309,http://www.wikidata.org/entity/Q11465545,,NA,NA,NA,NA,NA,5309,
5310,http://www.wikidata.org/entity/Q114655848,,university-teacher,NA,sociology,gender,ethics,5310,
5311,http://www.wikidata.org/entity/Q11465591,,NA,NA,NA,NA,NA,5311,
5312,http://www.wikidata.org/entity/Q114660470,,politician,NA,NA,NA,NA,5312,
5313,http://www.wikidata.org/entity/Q11466087,,NA,NA,NA,NA,NA,5313,
5314,http://www.wikidata.org/entity/Q11466238,,historian,NA,history-of-japan,NA,NA,5314,
5315,http://www.wikidata.org/entity/Q11466357,,NA,NA,NA,NA,NA,5315,
5316,http://www.wikidata.org/entity/Q11466361,,NA,NA,NA,NA,NA,5316,
5317,http://www.wikidata.org/entity/Q11467871,,NA,NA,NA,NA,NA,5317,
5318,http://www.wikidata.org/entity/Q11468095,,NA,NA,NA,NA,NA,5318,
5319,http://www.wikidata.org/entity/Q114685205,,opinion-journalist,NA,NA,NA,NA,5319,
5320,http://www.wikidata.org/entity/Q11469104,,historian,NA,NA,NA,NA,5320,
5321,http://www.wikidata.org/entity/Q11469173,,NA,NA,NA,NA,NA,5321,
5322,http://www.wikidata.org/entity/Q11469487,,NA,NA,NA,NA,NA,5322,
5323,http://www.wikidata.org/entity/Q114696148,,university-teacher,NA,sociology,sociology-of-work,working-conditions,5323,
5324,http://www.wikidata.org/entity/Q114696580,,writer,NA,sociology,research,food-studies,5324,
5325,http://www.wikidata.org/entity/Q11470193,,NA,NA,NA,NA,NA,5325,
5326,http://www.wikidata.org/entity/Q11470212,,NA,NA,NA,NA,NA,5326,
5327,http://www.wikidata.org/entity/Q11470865,,NA,NA,multiculturalism,international-relations-theory,NA,5327,
5328,http://www.wikidata.org/entity/Q11470901,,NA,NA,NA,NA,NA,5328,
5329,http://www.wikidata.org/entity/Q114717654,,NA,NA,NA,NA,NA,5329,
5330,http://www.wikidata.org/entity/Q11471985,,NA,NA,NA,NA,NA,5330,
5331,http://www.wikidata.org/entity/Q114727759,,manager,NA,NA,NA,NA,5331,
5332,http://www.wikidata.org/entity/Q11473640,,NA,NA,NA,NA,NA,5332,
5333,http://www.wikidata.org/entity/Q11473707,,NA,NA,NA,NA,NA,5333,
5334,http://www.wikidata.org/entity/Q11473861,,NA,NA,NA,NA,NA,5334,
5335,http://www.wikidata.org/entity/Q11474055,,NA,NA,NA,NA,NA,5335,
5336,http://www.wikidata.org/entity/Q11474305,,NA,NA,NA,NA,NA,5336,
5337,http://www.wikidata.org/entity/Q114750745,,writer,NA,NA,NA,NA,5337,
5338,http://www.wikidata.org/entity/Q11475362,,university-teacher,NA,cultural-studies,media-culture,NA,5338,
5339,http://www.wikidata.org/entity/Q11475678,,NA,NA,NA,NA,NA,5339,
