"pk_person_features","person_uri","occupation_main","occupation_sec1","occupation_sec2","field_main","field_sec1","field_sec2","fk_person","notes"
72,http://www.wikidata.org/entity/Q101007209,,NA,NA,NA,NA,NA,72,
73,http://www.wikidata.org/entity/Q101007799,,docent,NA,NA,NA,NA,73,
74,http://www.wikidata.org/entity/Q101048388,,university-teacher,NA,NA,NA,NA,74,
75,http://www.wikidata.org/entity/Q101052944,,university-teacher,NA,NA,NA,NA,75,
76,http://www.wikidata.org/entity/Q101064596,,university-teacher,NA,NA,NA,NA,76,
77,http://www.wikidata.org/entity/Q101064800,,psychologist,NA,NA,NA,NA,77,
78,http://www.wikidata.org/entity/Q101102856,,pedagogue,NA,sociology,education,NA,78,
79,http://www.wikidata.org/entity/Q101115119,,NA,NA,NA,NA,NA,79,
80,http://www.wikidata.org/entity/Q101149176,,university-teacher,NA,NA,NA,NA,80,
81,http://www.wikidata.org/entity/Q101175344,,NA,NA,NA,NA,NA,81,
82,http://www.wikidata.org/entity/Q101235,,university-teacher,NA,NA,NA,NA,82,
83,http://www.wikidata.org/entity/Q101236098,,university-teacher,NA,sociology,communication,communication-theory,83,
84,http://www.wikidata.org/entity/Q101242607,,university-teacher,NA,communication,NA,NA,84,
85,http://www.wikidata.org/entity/Q101246978,,university-teacher,NA,NA,NA,NA,85,
86,http://www.wikidata.org/entity/Q101251475,,historian,NA,NA,NA,NA,86,
87,http://www.wikidata.org/entity/Q101349,,university-teacher,NA,NA,NA,NA,87,
88,http://www.wikidata.org/entity/Q101423194,,university-teacher,NA,NA,NA,NA,88,
89,http://www.wikidata.org/entity/Q101439300,,university-teacher,NA,NA,NA,NA,89,
90,http://www.wikidata.org/entity/Q101440467,,political-scientist,NA,NA,NA,NA,90,
91,http://www.wikidata.org/entity/Q101472481,,political-scientist,NA,NA,NA,NA,91,
92,http://www.wikidata.org/entity/Q101497865,,university-teacher,NA,NA,NA,NA,92,
93,http://www.wikidata.org/entity/Q101538600,,university-teacher,NA,NA,NA,NA,93,
94,http://www.wikidata.org/entity/Q101538676,,NA,NA,NA,NA,NA,94,
95,http://www.wikidata.org/entity/Q101545698,,university-teacher,NA,sociology,sociological-theory,NA,95,
96,http://www.wikidata.org/entity/Q101552633,,NA,NA,NA,NA,NA,96,
97,http://www.wikidata.org/entity/Q101561244,,researcher,NA,NA,NA,NA,97,
98,http://www.wikidata.org/entity/Q101620138,,NA,NA,NA,NA,NA,98,
99,http://www.wikidata.org/entity/Q101624416,,NA,NA,sociology,NA,NA,99,
100,http://www.wikidata.org/entity/Q1016356,,university-teacher,NA,sociology,sociology-of-work,industrial-sociology,100,
101,http://www.wikidata.org/entity/Q1016499,,writer,NA,sociology,german-studies,NA,101,
102,http://www.wikidata.org/entity/Q101657491,,university-teacher,NA,sociology,media-culture,NA,102,
103,http://www.wikidata.org/entity/Q101691603,,writer,NA,NA,NA,NA,103,
104,http://www.wikidata.org/entity/Q101842,,university-teacher,NA,NA,NA,NA,104,
105,http://www.wikidata.org/entity/Q101850967,,writer,NA,NA,NA,NA,105,
106,http://www.wikidata.org/entity/Q101856469,,academic,NA,NA,NA,NA,106,
107,http://www.wikidata.org/entity/Q101988,,university-teacher,NA,sociology,economics,critical-sociology,107,
108,http://www.wikidata.org/entity/Q102017,,opinion-journalist,NA,NA,NA,NA,108,
109,http://www.wikidata.org/entity/Q102020306,,NA,NA,NA,NA,NA,109,
110,http://www.wikidata.org/entity/Q102029577,,politician,NA,NA,NA,NA,110,
111,http://www.wikidata.org/entity/Q102032653,,university-teacher,NA,sociology,economics,social-economy,111,
112,http://www.wikidata.org/entity/Q102077647,,NA,NA,NA,NA,NA,112,
113,http://www.wikidata.org/entity/Q102077797,,demographer,NA,NA,NA,NA,113,
114,http://www.wikidata.org/entity/Q102086,,historian,NA,social-history,NA,NA,114,
115,http://www.wikidata.org/entity/Q102104647,,NA,NA,NA,NA,NA,115,
116,http://www.wikidata.org/entity/Q102106,,university-teacher,NA,NA,NA,NA,116,
117,http://www.wikidata.org/entity/Q102109299,,academy-professor,NA,NA,NA,NA,117,
118,http://www.wikidata.org/entity/Q102121497,,NA,NA,NA,NA,NA,118,
119,http://www.wikidata.org/entity/Q102130613,,university-teacher,NA,NA,NA,NA,119,
120,http://www.wikidata.org/entity/Q102157353,,NA,NA,NA,NA,NA,120,
121,http://www.wikidata.org/entity/Q102181,,university-teacher,NA,NA,NA,NA,121,
122,http://www.wikidata.org/entity/Q102188715,,catholic-theologian,NA,NA,NA,NA,122,
