person_uri,labelPer,birthYear,gender,labelPlace,geometry,REGION,NAME_ENGL,coded_country,periodsActivity,pk_person_features,occupation_sec1,coded_employer
http://www.wikidata.org/entity/Q3362641,Paolo Mancini,1948,male,Foligno,POINT (12.703281 42.955761),Southern Europe,Italy,Italy,1971-1995,12346,university-teacher,university
http://www.wikidata.org/entity/Q12401848,Maurizio Bonolis,1949,male,Verbania,POINT (8.551944 45.922778),Southern Europe,Italy,Italy,1971-1995,6705,university-teacher,organization
http://www.wikidata.org/entity/Q1239894,Johannes Weiß,1941,male,Hellenthal,POINT (6.433056 50.483056),Western Europe,Germany,Germany,1971-1995,6699,university-teacher,university
http://www.wikidata.org/entity/Q12388364,Fermín Bouza Álvarez,1946,male,Santiago de Compostela,POINT (-8.533333 42.883333),Southern Europe,Spain,Spain Port.,1971-1995,6687,university-teacher,publisher
http://www.wikidata.org/entity/Q3376528,Peter Davis,1947,male,Milford-on-Sea,POINT (-1.588 50.727),Northern Europe,United Kingdom,United Kingdom,1971-1995,12377,university-teacher,publisher
http://www.wikidata.org/entity/Q3479501,Serge Proulx,1945,male,Montreal,POINT (-73.586841 45.503343),Northern America,Canada,United States Can.,1971-1995,12480,university-teacher,organization
http://www.wikidata.org/entity/Q1230297,Ditmar Brock,1947,male,Stuttgart,POINT (9.18 48.7775),Western Europe,Germany,Germany,1971-1995,6493,university-teacher,university
http://www.wikidata.org/entity/Q123003523,Janwillem Schrofer,1945,male,Amsterdam,POINT (4.883333 52.366667),Western Europe,Netherlands,Belgium Netherl.,1971-1995,6488,other,academy
http://www.wikidata.org/entity/Q1229796,Stefan Breuer,1948,male,Eisenach,POINT (10.324444 50.974722),Western Europe,Germany,Germany,1971-1995,6484,university-teacher,university
http://www.wikidata.org/entity/Q3667511,Chiara Saraceno,1941,female,Milan,POINT (9.19 45.466944),Southern Europe,Italy,Italy,1971-1995,12625,university-teacher,publisher
http://www.wikidata.org/entity/Q1227902,Dirk Hülst,1943,male,Magdeburg,POINT (11.639961 52.131589),Western Europe,Germany,Germany,1971-1995,6452,university-teacher,university
http://www.wikidata.org/entity/Q12273368,Blagoy Kolev,1946,male,Dimitrovgrad,POINT (22.783333 43.016667),Southern Europe,Serbia,Central Europe,1971-1995,6444,university-teacher,university
http://www.wikidata.org/entity/Q3702759,Darko Bratina,1942,male,Gorizia,POINT (13.6193 45.9352),Southern Europe,Italy,Italy,1971-1995,12636,politician,organization
http://www.wikidata.org/entity/Q12290292,Petko Simeonov,1942,male,Montana,POINT (23.224242 43.405487),Eastern Europe,Bulgaria,Central Europe,1971-1995,6473,university-teacher,publisher
http://www.wikidata.org/entity/Q3484268,Simon Epstein,1947,male,Paris,POINT (2.352222 48.856667),Western Europe,France,France,1971-1995,12485,historian,university
http://www.wikidata.org/entity/Q3487725,Pavel Gantar,1949,male,Gorenja Vas,POINT (14.145078 46.106856),Southern Europe,Slovenia,Central Europe,1971-1995,12489,politician,publisher
http://www.wikidata.org/entity/Q35006583,Paul G. Schervish,1946,male,Detroit,POINT (-83.0475 42.331667),Northern America,United States,United States Can.,1971-1995,12501,researcher,education
http://www.wikidata.org/entity/Q3502844,Stephanie Coontz,1944,female,Seattle,POINT (-122.33 47.605),Northern America,United States,United States Can.,1971-1995,12509,writer,education
http://www.wikidata.org/entity/Q351815,Robert D. Putnam,1941,male,Rochester,POINT (-77.611389 43.165556),Northern America,United States,United States Can.,1971-1995,12526,university-teacher,education
http://www.wikidata.org/entity/Q355237,Bruno Latour,1947,male,Beaune,POINT (4.838889 47.024167),Western Europe,France,France,1971-1995,12538,writer,education
http://www.wikidata.org/entity/Q3559898,Vincent de Gaulejac,1946,male,Croissy-sur-Seine,POINT (2.142222 48.877778),Western Europe,France,France,1971-1995,12550,university-teacher,university
http://www.wikidata.org/entity/Q3329469,Reginald Bibby,1943,male,Edmonton,POINT (-113.5 53.533333),Northern America,Canada,United States Can.,1971-1995,12307,university-teacher,organization
http://www.wikidata.org/entity/Q3161798,Jan de Vries,1943,male,Ouder-Amstel,POINT (4.9117 52.2906),Western Europe,Netherlands,Belgium Netherl.,1971-1995,12043,university-teacher,education
