labelPer_x,labelPer_y,periodsActivity_x,periodsActivity_y,sum_edu_empl,sum_all_rel,orgs_number_edu,orgs_labels_edu,orgs_number_empl,orgs_labels_empl,orgs_number_memb,orgs_labels_memb,person_uri_x,person_uri_y
Kingsley Davis,Neil Smelser,1946-1970,1971-1995,1,4,0,,1,"University of California, Berkeley",3,American Philosophical Society|American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q1738478,http://www.wikidata.org/entity/Q713936
Philip Hauser,Peter Blau,1946-1970,1946-1970,1,4,0,,1,University of Chicago,3,National Academy of Sciences|American Academy of Arts and Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q1777102,http://www.wikidata.org/entity/Q215834
Philip Hauser,Clifford Geertz,1946-1970,1971-1995,1,4,0,,1,University of Chicago,3,National Academy of Sciences|American Academy of Arts and Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q1777102,http://www.wikidata.org/entity/Q310956
Philip Hauser,Harold Lasswell,1946-1970,1946-1970,2,4,1,University of Chicago,1,University of Chicago,2,National Academy of Sciences|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q1777102,http://www.wikidata.org/entity/Q314462
Philip Hauser,Shmuel Eisenstadt,1946-1970,1946-1970,1,4,0,,1,University of Chicago,3,National Academy of Sciences|American Academy of Arts and Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q1777102,http://www.wikidata.org/entity/Q677793
Philip Hauser,Nathan Keyfitz,1946-1970,1946-1970,2,4,1,University of Chicago,1,University of Chicago,2,National Academy of Sciences|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q1777102,http://www.wikidata.org/entity/Q6969175
Philip Hauser,Donald T. Campbell,1946-1970,1946-1970,1,4,0,,1,University of Chicago,3,National Academy of Sciences|American Academy of Arts and Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q1777102,http://www.wikidata.org/entity/Q729038
Philip Hauser,Reinhard Bendix,1946-1970,1946-1970,2,4,1,University of Chicago,1,University of Chicago,2,American Academy of Arts and Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q1777102,http://www.wikidata.org/entity/Q76175
Isaiah Berlin,Ralf Dahrendorf,1946-1970,1971-1995,1,4,0,,1,University of Oxford,3,British Academy|American Philosophical Society|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q205162,http://www.wikidata.org/entity/Q76959
Philip Converse,Charles Tilly,1971-1995,1971-1995,1,4,0,,1,University of Michigan,3,American Philosophical Society|American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q2086156,http://www.wikidata.org/entity/Q717635
Peter Blau,Clifford Geertz,1946-1970,1971-1995,1,4,0,,1,University of Chicago,3,American Academy of Arts and Sciences|National Academy of Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q215834,http://www.wikidata.org/entity/Q310956
Peter Blau,Robert K. Merton,1946-1970,1946-1970,1,4,0,,1,Columbia University,3,American Academy of Arts and Sciences|National Academy of Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q215834,http://www.wikidata.org/entity/Q312843
Peter Blau,Daniel J. Boorstin,1946-1970,1946-1970,2,4,0,,2,University of Chicago|University of Cambridge,2,American Academy of Arts and Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q215834,http://www.wikidata.org/entity/Q551252
Peter Blau,Shmuel Eisenstadt,1946-1970,1946-1970,1,4,0,,1,University of Chicago,3,American Academy of Arts and Sciences|National Academy of Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q215834,http://www.wikidata.org/entity/Q677793
Peter Blau,Charles Tilly,1946-1970,1971-1995,1,4,0,,1,Columbia University,3,American Academy of Arts and Sciences|National Academy of Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q215834,http://www.wikidata.org/entity/Q717635
Peter Blau,Donald T. Campbell,1946-1970,1946-1970,1,4,0,,1,University of Chicago,3,American Academy of Arts and Sciences|National Academy of Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q215834,http://www.wikidata.org/entity/Q729038
Peter Blau,Morris Janowitz,1946-1970,1946-1970,2,4,0,,2,University of Chicago|University of Cambridge,2,American Academy of Arts and Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q215834,http://www.wikidata.org/entity/Q732025
"Anthony Giddens, Baron Giddens",Margaret Archer,1971-1995,1971-1995,3,4,1,London School of Economics and Political Science,2,London School of Economics and Political Science|University of Cambridge,1,Academia Europaea,http://www.wikidata.org/entity/Q220008,http://www.wikidata.org/entity/Q432784
Samuel A. Stouffer,David Riesman,1921-1945,1946-1970,2,4,0,,2,University of Chicago|Harvard University,2,American Academy of Arts and Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q2217894,http://www.wikidata.org/entity/Q504319
Samuel A. Stouffer,Shmuel Eisenstadt,1921-1945,1946-1970,2,4,0,,2,University of Chicago|Harvard University,2,American Academy of Arts and Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q2217894,http://www.wikidata.org/entity/Q677793
Mary Douglas,David E. Apter,1946-1970,1946-1970,3,4,0,,3,University of Chicago|Yale University|Northwestern University,1,American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q231349,http://www.wikidata.org/entity/Q5233147
Mary Douglas,Juan José Linz,1946-1970,1971-1995,1,4,0,,1,Yale University,3,British Academy|Academia Europaea|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q231349,http://www.wikidata.org/entity/Q62478
Mary Douglas,Jürgen Habermas,1946-1970,1971-1995,1,4,0,,1,Northwestern University,3,British Academy|Academia Europaea|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q231349,http://www.wikidata.org/entity/Q76357
Wolfgang Streeck,Renate Mayntz,1971-1995,1971-1995,1,4,0,,1,University of Cologne,3,European Group for Organizational Studies|Academia Europaea|Berlin-Brandenburg Academy of Sciences and Humanities,http://www.wikidata.org/entity/Q2591531,http://www.wikidata.org/entity/Q92147
Antonina Kłoskowska,Józef Chałasiński,1946-1970,1946-1970,2,4,0,,2,University of Łódź|University of Warsaw,2,Polish Academy of Sciences|Polish Sociological Association,http://www.wikidata.org/entity/Q2735239,http://www.wikidata.org/entity/Q4494973
Christine Musselin,Marc Lazar,1996-2020,1996-2020,4,4,1,Sciences Po,3,National Center for Scientific Research|Sciences Po|Paris Nanterre University,0,,http://www.wikidata.org/entity/Q2965956,http://www.wikidata.org/entity/Q3288191
Manuel Castells,Jack Goody,1971-1995,1946-1970,1,4,0,,1,University of Cambridge,3,British Academy|Academia Europaea|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q310161,http://www.wikidata.org/entity/Q636191
Manuel Castells,Ronald P. Dore,1971-1995,1946-1970,1,4,0,,1,Massachusetts Institute of Technology,3,British Academy|Academia Europaea|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q310161,http://www.wikidata.org/entity/Q7365159
Clifford Geertz,David E. Apter,1971-1995,1946-1970,3,4,2,Antioch University|Antioch College,1,University of Chicago,1,American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q310956,http://www.wikidata.org/entity/Q5233147
Clifford Geertz,Shmuel Eisenstadt,1971-1995,1946-1970,1,4,0,,1,University of Chicago,3,American Philosophical Society|National Academy of Sciences|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q310956,http://www.wikidata.org/entity/Q677793
Clifford Geertz,Neil Smelser,1971-1995,1971-1995,1,4,1,Harvard University,0,,3,American Philosophical Society|National Academy of Sciences|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q310956,http://www.wikidata.org/entity/Q713936
Clifford Geertz,Charles Tilly,1971-1995,1971-1995,1,4,1,Harvard University,0,,3,American Philosophical Society|National Academy of Sciences|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q310956,http://www.wikidata.org/entity/Q717635
Clifford Geertz,Donald T. Campbell,1971-1995,1946-1970,1,4,0,,1,University of Chicago,3,American Philosophical Society|National Academy of Sciences|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q310956,http://www.wikidata.org/entity/Q729038
Alfred L. Kroeber,Robert Lowie,1921-1945,1921-1945,2,4,1,Columbia University,1,"University of California, Berkeley",2,American Philosophical Society|National Academy of Sciences,http://www.wikidata.org/entity/Q311538,http://www.wikidata.org/entity/Q44968
Robert K. Merton,Charles Tilly,1946-1970,1971-1995,1,4,0,,1,Columbia University,3,American Academy of Arts and Sciences|National Academy of Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q312843,http://www.wikidata.org/entity/Q717635
Robert K. Merton,Ralf Dahrendorf,1946-1970,1971-1995,0,5,0,,0,,5,American Academy of Arts and Sciences|National Academy of Sciences|Polish Academy of Sciences|British Academy|American Philosophical Society,http://www.wikidata.org/entity/Q312843,http://www.wikidata.org/entity/Q76959
Robert K. Merton,Robert A. Dahl,1946-1970,1946-1970,0,4,0,,0,,4,American Academy of Arts and Sciences|National Academy of Sciences|British Academy|American Philosophical Society,http://www.wikidata.org/entity/Q312843,http://www.wikidata.org/entity/Q83907
Salustiano del Campo,Luis González Seara,1971-1995,1971-1995,2,4,1,Complutense University of Madrid,1,Complutense University of Madrid,2,Royal Academy of Moral and Political Sciences|European Academy of Sciences and Arts,http://www.wikidata.org/entity/Q3470277,http://www.wikidata.org/entity/Q925289
