labelPer_x,labelPer_y,periodsActivity_x,periodsActivity_y,sum_edu_empl,sum_all_rel,orgs_number_edu,orgs_labels_edu,orgs_number_empl,orgs_labels_empl,orgs_number_memb,orgs_labels_memb,person_uri_x,person_uri_y
Shmuel Eisenstadt,Morris Janowitz,1946-1970,1946-1970,2,4,1,University of Chicago,1,University of Chicago,2,American Philosophical Society|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q677793,http://www.wikidata.org/entity/Q732025
Shmuel Eisenstadt,Reinhard Bendix,1946-1970,1946-1970,2,4,1,University of Chicago,1,University of Chicago,2,American Philosophical Society|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q677793,http://www.wikidata.org/entity/Q76175
Nathan Keyfitz,Charles Tilly,1946-1970,1971-1995,2,4,0,,2,Harvard University|University of Toronto,2,National Academy of Sciences|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q6969175,http://www.wikidata.org/entity/Q717635
Nathan Keyfitz,Reinhard Bendix,1946-1970,1946-1970,3,4,1,University of Chicago,2,"University of California, Berkeley|University of Chicago",1,American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q6969175,http://www.wikidata.org/entity/Q76175
Neil Smelser,Charles Tilly,1971-1995,1971-1995,1,4,1,Harvard University,0,,3,American Philosophical Society|American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q713936,http://www.wikidata.org/entity/Q717635
Neil Smelser,Ralf Dahrendorf,1971-1995,1971-1995,0,4,0,,0,,4,Russian Academy of Sciences|American Philosophical Society|American Academy of Arts and Sciences|National Academy of Sciences,http://www.wikidata.org/entity/Q713936,http://www.wikidata.org/entity/Q76959
Morris Janowitz,Reinhard Bendix,1946-1970,1946-1970,2,4,1,University of Chicago,1,University of Chicago,2,American Philosophical Society|American Academy of Arts and Sciences,http://www.wikidata.org/entity/Q732025,http://www.wikidata.org/entity/Q76175
Ronald P. Dore,Raymond Boudon,1946-1970,1971-1995,1,4,0,,1,Harvard University,3,British Academy|American Academy of Arts and Sciences|Academia Europaea,http://www.wikidata.org/entity/Q7365159,http://www.wikidata.org/entity/Q914428
Alfred Weber,Carl Brinkmann,1896-1920,1921-1945,2,4,0,,2,Heidelberg University|Humboldt-Universität zu Berlin,2,Bavarian Academy of Sciences and Humanities|Heidelberg Academy of Sciences and Humanities,http://www.wikidata.org/entity/Q76514,http://www.wikidata.org/entity/Q91952
Alfred Weber,Max Weber,1896-1920,1896-1920,2,4,1,Humboldt-Universität zu Berlin,1,Heidelberg University,2,Bavarian Academy of Sciences and Humanities|Heidelberg Academy of Sciences and Humanities,http://www.wikidata.org/entity/Q76514,http://www.wikidata.org/entity/Q9387
Ralf Dahrendorf,Robert A. Dahl,1971-1995,1946-1970,0,4,0,,0,,4,British Academy|National Academy of Sciences|American Academy of Arts and Sciences|American Philosophical Society,http://www.wikidata.org/entity/Q76959,http://www.wikidata.org/entity/Q83907
